Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
55.213.2,False,True,9447,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1895,1892,1898,Favrile glass,H. 2 in. (5.1 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9447,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.3,False,False,9448,American Decorative Arts,Vase,Vase,American,,,,,Designer|Manufacturer,Designed by|Attributed to,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1902–3,1899,1903,Favrile glass,H. 3 1/8 in. (7.9 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9448,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.4,False,False,9449,American Decorative Arts,Vase,Vase,American,,,,,Maker|Designer,Designed by,Tiffany Glass and Decorating Company|Louis Comfort Tiffany,"American, 1892–1902|American, New York 1848–1933 New York",,"Tiffany Glass and Decorating Company|Tiffany, Louis Comfort",American,1892      |1848      ,1902      |1933      ,ca. 1897,1894,1900,Favrile glass,H. 3 5/16 in. (8.4 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9449,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.7,False,False,9451,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1899,1896,1902,Favrile glass,H. 4 5/8 in. (11.7 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9451,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
30.4.151,False,True,544627,Egyptian Art,"Facsimile, Rekhmire (TT 100), treasury of Amun","Wine and Papyrus for the Treasuries of Amun, Tomb of Rekhmire",,New Kingdom,Dynasty 18,reign of Thutmose III–early Amenhotep II,,Artist,,Charles K. Wilkinson,,,"Wilkinson, Charles K.",,1897      ,1986      ,ca. 1479–1420 B.C.,-1479,-1420,Tempera on paper,"facsimile: h. 52 cm (20 1/2 in); w. 130 cm (51 3/16 in)
scale 1:1
framed: h. 55.2 cm (21 3/4 in); w. 132.7 cm (52 1/4 in)","Rogers Fund, 1930",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544627,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.9,False,False,9453,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1895,1892,1898,Favrile glass,H. 4 in. (10.2 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9453,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.11,False,False,9454,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1900,1897,1903,Favrile glass,H. 6 1/4 in. (15.9 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9454,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.12,False,False,9455,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1903,1900,1906,Favrile glass,Dimensions unavailable,"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9455,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.15,False,False,9457,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1899,1896,1902,Favrile glass,H. 6 5/16 in. (16 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9457,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.31,False,False,9468,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1900–1915,1897,1915,Favrile glass,H. 7 1/2 in. (19.1 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9468,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.17,False,False,9458,American Decorative Arts,Vase,Vase,American,,,,,Maker|Designer,Designed by,Tiffany Studios|Louis Comfort Tiffany,"1902–32|American, New York 1848–1933 New York",,"Tiffany Studios |Tiffany, Louis Comfort",American,1902      |1848      ,1932      |1933      ,1902–33,1902,1933,Favrile glass,H. 7 3/4 in. (19.7 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9458,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.18,False,False,9459,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1894,1891,1897,Favrile glass,H. 6 1/2 in. (16.5 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9459,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.19,False,False,9460,American Decorative Arts,Vase,Vase,American,,,,,Maker|Designer,Designed by,Tiffany Studios|Louis Comfort Tiffany,"1902–32|American, New York 1848–1933 New York",,"Tiffany Studios |Tiffany, Louis Comfort",American,1902      |1848      ,1932      |1933      ,ca. 1908,1905,1911,Favrile glass,Dimensions unavailable,"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9460,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.20,False,False,9461,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,ca. 1917,1914,1920,Favrile glass,H. 9 1/16 in. (23 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9461,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.22,False,False,9462,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1899,1896,1902,Favrile glass,H. 8 7/16 in. (21.5 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9462,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.23,False,False,9463,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1899,1896,1902,Favrile glass,H. 10 1/8 in. (25.7 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9463,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.26,False,False,9464,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1900,1897,1903,Favrile glass,H. 17 5/8 in. (44.8 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9464,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.27,False,False,9465,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1900,1897,1903,Favrile glass,H. 15 1/2 in. (39.4 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9465,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.28,False,False,9466,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1893–1900,1893,1900,Favrile glass,H. 16 1/4 in. (41.3 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9466,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.37,False,False,9445,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1898–1902,1898,1902,Enamel on copper,H. 2 1/8 in. (5.4 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/9445,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.31,False,False,9444,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1898–1902,1898,1902,Enamel on copper,H. 2 9/16 in. (6.5 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Metal,,http://www.metmuseum.org/art/collection/search/9444,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.28,False,False,9443,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Furnaces,"American, New York 1848–1933 New York|New York",,"Tiffany, Louis Comfort|Tiffany Furnaces",American,1848      ,1933      |9999      ,ca. 1903,1900,1906,Favrile glass,H. 8 7/16 in. (21.4 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9443,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.27,False,False,9442,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1900–1902,1900,1902,Favrile glass,H. 15 5/8 in. (39.7 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9442,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.11,False,False,9427,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,1908,1908,1908,Favrile glass,H. 5 1/2 in. (14 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9427,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.12,False,False,9428,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Studios,"American, New York 1848–1933 New York|1902–32",,"Tiffany, Louis Comfort|Tiffany Studios ",American,1848      |1902      ,1933      |1932      ,1905,1905,1905,Favrile glass,H. 9 5/8 in. (24.4 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9428,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
69.53,False,False,9167,American Decorative Arts,Umbrella stand,Umbrella Stand,American,,,,,Decorator|Manufacturer,Manufactured by,Albert Haubrich|J. B. Owens Pottery Company,1875–1931|1891–1907,,"Haubrich, Albert|Owens Pottery Company J. B.",German,1875      |1891      ,1931      |1907      ,ca. 1896,1893,1896,Earthenware,H. 22 5/16 in. (56.7 cm); Diam. 11 1/4 in. (28.6 cm),"Gift of Ronald S. Kane, 1969",Made in,Zanesville,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/9167,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.14,False,False,9429,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Furnaces,"American, New York 1848–1933 New York|New York",,"Tiffany, Louis Comfort|Tiffany Furnaces",American,1848      ,1933      |9999      ,ca. 1904,1901,1907,Favrile glass,H. 10 3/8 in. (26.4 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9429,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.15,False,False,9430,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Furnaces,"American, New York 1848–1933 New York|New York",,"Tiffany, Louis Comfort|Tiffany Furnaces",American,1848      ,1933      |9999      ,ca. 1913,1910,1916,Favrile glass,6 5/8 x 4 7/8 in. (16.8 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9430,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
31.6.32,False,False,544633,Egyptian Art,"Facsimile, Rekhmire (TT 100), rope making","Making Leather Rope, Tomb of Rekhmire",,New Kingdom,Dynasty 18,,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1504–1425 B.C.,-1504,-1504,"Paper, tempera paint, ink","facsimile: h. 28 cm (11 in); w. 50 cm (19 11/16 in)
scale 1:1
framed: h. 34.3 cm (13 1/2 in); w. 43.8 cm (17 1/4 in)","Rogers Fund, 1931",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544633,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.17,False,False,9432,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1900–1902,1900,1902,Favrile glass,H. 18 11/16 in. (47.5 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9432,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.18,False,False,9433,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Furnaces,"American, New York 1848–1933 New York|New York",,"Tiffany, Louis Comfort|Tiffany Furnaces",American,1848      ,1933      |9999      ,ca. 1903,1900,1906,Favrile glass,H. 4 1/2 in. (11.4 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9433,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1980.453,False,False,5901,American Decorative Arts,Plaque,Plaque,American,,,,,Manufacturer,Manufactured by,Rookwood Pottery,"American, Cincinnati, Ohio, 1880–1967",,Rookwood Pottery,American,1880      ,1967      ,1919,1919,1919,Earthenware,9 x 12 in. (22.9 x 30.5 cm),"Purchase, Mr. and Mrs. David Lubart Gift, in memory of Katherine J. Lubart, 1944–1975, 1980",Made in,Cincinnati,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/5901,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
31.6.13,False,True,544631,Egyptian Art,"Facsimile, Rekhmire (TT 100), drilling stone","Drilling a Stone Vase, Tomb of Rekhmire",,New Kingdom,Dynasty 18,,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1504–1425 B.C.,-1504,-1504,"Paper, tempera paint, ink","facsimile: h. 26.5 cm (10 7/16 in); w. 23.5 cm (9 1/4 in)
scale 1:1
framed: h. 29.2 cm (11 1/2 in); w. 26.7 cm (10 1/2 in)","Rogers Fund, 1931",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544631,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.20,False,False,9435,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1897,1894,1900,Favrile glass,H. 11 1/4 in. (28.6 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9435,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.21,False,False,9436,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,1898,1898,1898,Porcelaneous earthenware,H. 4 5/8 in. (11.7 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/9436,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.22,False,False,9437,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Furnaces,"American, New York 1848–1933 New York|New York",,"Tiffany, Louis Comfort|Tiffany Furnaces",American,1848      ,1933      |9999      ,ca. 1909,1906,1912,Favrile glass,"16 7/16in. h. (41.8cm)
Body diameter: 8 in. (20.3 cm)
Foot diameter: 5 7/8 in. (14.9 cm)","Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9437,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1972.60.12,False,False,5895,American Decorative Arts,Plant stand,Plant Stand,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867      ,1959      ,1902–3,1902,1903,White oak,35 3/4 x 15 1/2 x 15 1/2 in. (90.8 x 39.4 x 39.4 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/5895,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1972.60.11,False,False,5894,American Decorative Arts,Plant stand,Plant Stand,American,,,,,Maker,,Frank Lloyd Wright,"American, Richland Center, Wisconsin 1867–1959 Phoenix, Arizona",,"Wright, Frank Lloyd",American,1867      ,1959      ,1902–3,1902,1903,White oak,35 3/4 x 15 1/2 x 15 1/2 in. (90.8 x 39.4 x 39.4 cm),"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,,,,United States,Midwest ,,,,,,Furniture,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/5894,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.23,False,False,9438,American Decorative Arts,Vase,Vase,American,,,,,Maker|Designer,Designed by,Tiffany Furnaces|Louis Comfort Tiffany,"New York|American, New York 1848–1933 New York",,"Tiffany Furnaces|Tiffany, Louis Comfort",American,1848      ,9999      |1933      ,ca. 1905,1903,1908,Favrile glass,3 13/16 x 3 1/2 in. (9.7 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9438,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
31.6.25,False,True,544630,Egyptian Art,"Facsimile, Rekhmire (TT 100), jewelry making, bow drill","Stringing and Drilling Beads, Tomb of Rekhmire",,New Kingdom,Dynasty 18,,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1504–1425 B.C.,-1504,-1504,"Paper, tempera paint, ink","facsimile: h. 27.5 cm (10 13/16 in); w. 62.5 cm (24 5/8 in); 
scale 1:1
framed: h. 31.1 cm (12 1/4 in); w. 66 cm (26 in)","Rogers Fund, 1931",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544630,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.25,False,False,9440,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1897,1894,1900,Favrile glass,13 3/8 x 7 1/4 in. (34 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9440,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
1982.91.2,False,True,5880,American Decorative Arts,Pitcher,Pitcher,British (American market),,,,,Maker,,Davenport,active 1794–1887,,"Davenport, ",British,1794      ,1887      ,1857–90,1857,1890,Earthenware,H. 13 in. (33 cm),"Friends of the American Wing Fund, 1982",Made in,,Staffordshire,Staffordshire,England,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/5880,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
31.6.31,False,True,544625,Egyptian Art,"Facsimile, Rekhmire (TT 100), bakers, basket","Man Carrying Loaves, Tomb of Rekhmire",,New Kingdom,Dynasty 18,,,Artist,,Nina de Garis Davies,1881–1965,,"Davies, Nina de Garis",,1881      ,1965      ,ca. 1504–1425 B.C.,-1504,-1504,"Paper, tempera paint, ink","facsimile: h. 43 cm (16 15/16 in); w. 30.5 cm (12 in)
scale 1:1
framed: h. 46 cm (18 1/8 in); w. 34 cm (13 3/8 in)","Rogers Fund, 1931",Original from,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,Tomb of Rekhmire (TT 100),,,,,,http://www.metmuseum.org/art/collection/search/544625,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
55.213.32,False,False,9469,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",American,1848      |1892      ,1933      |1902      ,ca. 1900,1897,1903,Favrile glass,H. 15 5/8 in. (39.7 cm),"Anonymous Gift, 1955",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9469,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
51.121.9,False,False,9425,American Decorative Arts,Vase,Vase,American,,,,,Designer|Maker,Designed by,Louis Comfort Tiffany|Tiffany Furnaces,"American, New York 1848–1933 New York|New York",,"Tiffany, Louis Comfort|Tiffany Furnaces",American,1848      ,1933      |9999      ,ca. 1912,1909,1915,Favrile glass,H. 5 7/8 in. (14.9 cm),"Gift of Louis Comfort Tiffany Foundation, 1951",Made in,New York,,,United States,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/9425,1/7/2019 8:00:00 AM,"Metropolitan Museum of Art, New York, NY"
