Reign,Period,Dynasty,State,Region,Artist Nationality,City,Culture,Classification,Artist Alpha Sort,Country,Title,Object Name
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American|American,New York,American,Jewelry,"Bell, George|Manz, Gustav",United States,Brooch,Brooch
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,French,Paris,French,Ceramics,"Schoelcher, Marc",France,Vase,Vase
,,,,,American,Newport,American,Furniture,"Townsend, John",United States,Firescreen,Firescreen
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,New England,,,Boston,American,Furniture,"Willard, Simon",United States,Tall Clock,Tall clock
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,Staffordshire,,British,,British (American market),Ceramics,"Clews, James and Ralph",England,Soup Plate,Soup plate
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American|American,Montclair,American,Chordophone-Lute-bowed-unfretted,Hutchins Carleen M.|Bernstein Raphael,United States,Alto Violin,Alto Violin
,,,,,British,London,British,Aerophone-Blow Hole-side-blown flute (transverse),"Cahusac, Thomas",United Kingdom,Flute,Flute
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Vase,Vase
,,,,,British,London,British,Chordophone-Lute-bowed-fretted,Norman Barak,United Kingdom,Bass Viola da Gamba,Bass Viola da Gamba
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Floor Lamp,Floor lamp
reign of Mentuhotep II,Middle Kingdom,Dynasty 11,,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,Facsimile painting from the temple of Mentuhotep II,"Facsimile, Mentuhotep II"
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Bowl,Bowl
,,,,,American|American,Montclair,American,Chordophone-Lute-bowed-unfretted,Hutchins Carleen M.|Blatter Donald|Coleman Thomas,United States,Contrabass Violin,Contrabass Violin
,,,,,American,Montclair,American,Chordophone-Lute-bowed-unfretted,Hutchins Carleen M.|Bronstein Rafael,United States,Baritone Violin,Baritone Violin
,,,,,American|American|American,Montclair,American,Chordophone-Lute-bowed-unfretted,Hutchins Carleen M.|Dunham Louis W.|Miller Burritt,United States,Tenor Violin,Tenor Violin
,,,,,American|American,Montclair,American,Chordophone-Lute-bowed-unfretted,Hutchins Carleen M.|Field Carolyn,United States,Treble Violin,Treble Violin
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Vase,Vase
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Vase,Vase
,,,,Mid-Atlantic  United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Bottle,Bottle
,,,,Mid-Atlantic United States,American,Syracuse,,Ceramics-Porcelain,"Robineau, Adelaide Alsop",United States,Vase,Vase
,,,,,American|American,South Manchester,American,Textiles,"Cheney Brothers|Wheeler, Candace|Associated, Artists ",United States,Sample,Sample
,,,,,English,London,British,Chordophone-Lute-bowed-fretted,"Meares, Richard",United Kingdom,Viola da Gamba,Viola da Gamba
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,"American, born Germany",Manheim,American,Glass,"Stiegel, Henry William|American Flint Glass Manufactory ",United States,Pocket bottle,Pocket bottle
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,British,London,British,Chordophone-Accessories-bow,"Dodd, James",United Kingdom,Violoncello Bow,Violoncello Bow
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,Zanesville,American,Ceramics,"Rhead, Loiz Whitcomb|American Encaustic Tile Company",United States,Encaustic Tile,Encaustic tile
,,,,,American,Zanesville,American,Ceramics,"Mueller, Herman Carl|American Encaustic Tile Company",United States,Encaustic Tile,Encaustic tile
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,Chicago,American,Architecture,"Winslow Brothers Company|Mundie, William B.|Jenney, William LeBaron",United States,"Elevator panel from the Manhattan Building, Chicago, Illinois",Panel
,,,,,American,Chicago,American,Architecture,"Winslow Brothers Company|Jenney, William LeBaron|Mundie, William B.",United States,"Elevator panel from the Manhattan Building, Chicago, Illinois",Panel
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios |Tiffany Glass and Decorating Company",United States,Electric Lamp,Electric lamp
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Electric Lamp,Electric lamp
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Daybed,Daybed
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American|American,Cincinnati,American,Ceramics,"Valentien, Albert R.|Rookwood Pottery",United States,Ewer,Ewer
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Couch,Couch
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,Newark,American,Furniture,"Jelliff, John",United States,Sofa,Sofa
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,Mid-Atlantic,,New York,American,Textiles-Printed,"Stirn, Louis A.|Stirn, Edmund A.",America,Sample,Textile sample
,,,,,American,Boston,American,Silver,"Revere, Paul, Jr.|Revere, Paul Sr.",United States,Tankard,Tankard
,,,,,American,Boston|Philadelphia,American,Silver,"Pitts, Richard|Pitts, John",United States|United States,Porringer,Porringer
,,,,,American,New York,American,Textiles,Cheney Brothers|Tiffany & Wheeler,United States,Sample,Sample
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Vase,Vase
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany Glass and Decorating Company|Tiffany, Louis Comfort",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
reign of Thutmose III–early Amenhotep II,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Wilkinson, Charles K.",Egypt,"Wine and Papyrus for the Treasuries of Amun, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), treasury of Amun"
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany Studios |Tiffany, Louis Comfort",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany Studios |Tiffany, Louis Comfort",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Furnaces",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Vase,Vase
,,,,,German,Zanesville,American,Ceramics,"Haubrich, Albert|Owens Pottery Company J. B.",United States,Umbrella Stand,Umbrella stand
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Furnaces",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Furnaces",United States,Vase,Vase
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Making Leather Rope, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), rope making"
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Furnaces",United States,Vase,Vase
,,,,,American,Cincinnati,American,Ceramics,Rookwood Pottery,United States,Plaque,Plaque
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Drilling a Stone Vase, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), drilling stone"
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Ceramics,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Furnaces",United States,Vase,Vase
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Plant Stand,Plant stand
,,,,Midwest ,American,,American,Furniture,"Wright, Frank Lloyd",United States,Plant Stand,Plant stand
,,,,,American,New York,American,Glass,"Tiffany Furnaces|Tiffany, Louis Comfort",United States,Vase,Vase
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Stringing and Drilling Beads, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), jewelry making, bow drill"
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,Staffordshire,,British,,British (American market),Ceramics,"Davenport, ",England,Pitcher,Pitcher
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Man Carrying Loaves, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), bakers, basket"
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Furnaces",United States,Vase,Vase
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Window Seat,Window seat
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Wall Sconce,Wall sconce
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Wall Sconce,Wall sconce
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Syrians Bringing an Ingot and a Chariot, tomb of Rekhmire","Facsimile, Rekhmire (TT 100), Syrians, chariot, ingot"
,,,,,British,Jersey City,American,Ceramics,"Greatbach, Daniel|Henderson Flint Stoneware Manufactory D. and J.",United States,Pitcher,Pitcher
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Leather Working, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), leather work"
,,,,,French,New York,American,Glass,"Dorflinger, Christian",United States,Water Goblet,Water goblet
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Leather Working, Tomb of Rekhmire","facsimile, Rekhmire (TT 100), leather work, sandal"
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Magnolias and Irises,Stained glass window
,,,,,American,Kankekee,American,Glass,"Wright, Frank Lloyd",United States,Stained Glass Window,Stained glass window
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Window stool,Window stool
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Leather Workers, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), leather workers"
,,,Brooklyn,,,New York,American,Ceramics,Cartlidge and Company Charles,United States,Pitcher,Pitcher
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Window Stool,Window Stool
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Syrians Bringing an Elephant and a Bear, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), Syrians, elephant, bear, ingot"
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Window Seat,Window seat
,,,,,Scottish,New York,American,Furniture,"Phyfe, Duncan",United States,Window Seat,Window seat
,,,,,American,Newark,American,Architecture,"Jelliff, John",United States,Window Cornice,Window cornice
,,,,,American,Newark,American,Architecture,"Jelliff, John",United States,Window Cornice,Window cornice
,,,,,American,Newark,American,Architecture,"Jelliff, John",United States,Window Cornice,Window cornice
,,,,,American,Chicago,American,Furniture,"Wright, Frank Lloyd",United States,"Window from Auldbrass Plantation near Yemassee, South Carolina",Window
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Wall Sconce,Wall sconce
,,,,,American,New York,American,Glass,"Tiffany Studios |Tiffany, Louis Comfort",United States,Wall Sconce,Wall sconce
,,,,,American,New York,American,Architecture,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Garden Landscape,Wall mural and fountain
,,,,,American,Chicago,American,Metal,"Wright, Frank Lloyd",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,Philadelphia|New York,American,Silver,"Reeves, Stephen|Richards, Samuel Jr.",United States|United States,Creampot,Cream pot
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Glass and Decorating Company",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany Glass and Decorating Company|Tiffany, Louis Comfort",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort",United States,Vase,Vase
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Preparing and Cooking Cakes, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), bakers"
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Cooking Cakes with Fat, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), cooking"
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Preparing Dough, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), cooking"
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Sifting Meal, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), cooking"
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Pounding Meal, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), cooking"
,,,,,American,New York,American,Metal,"Stourbridge Glass Company|Tiffany Glass and Decorating Company|Tiffany, Louis Comfort",United States,Vase,Vase
,,,,,American,Brooklyn,American,Ceramics,"Union Porcelain Works |Müller, Karl L. H.",United States,Pitcher,Pitcher
,,,,,American,Brooklyn,American,Ceramics,"Union Porcelain Works |Müller, Karl L. H.",United States,Pitcher,Pitcher
,New Kingdom,Dynasty 18,,"Upper Egypt, Thebes",,,,,"Davies, Nina de Garis",Egypt,"Gifts from Western Asia, Tomb of Rekhmire","Facsimile, Rekhmire (TT 100), gifts"
,,,,,American|American,Cincinnati,American,Ceramics,"Valentien, Albert R.|Rookwood Pottery",United States,Vase,Vase
,,,,,American,,American,Natural Substances,"Wright, Frank Lloyd|Minic, Accessories ",United States,Vase,Vase
,,,,,Dutch,Delft,Dutch,Ceramics,"Brouwer, Justus|Porcelain, Axe The",Netherlands,Vase,Vase
,,,,,Dutch,Delft,Dutch,Ceramics,"Brouwer, Justus|Porcelain, Axe The",Netherlands,Vase,Vase
,,,,,American,Chicago,American,Metal,"Wright, Frank Lloyd",United States,Vase,Vase
,,,,,American,New York,American,Glass,"Tiffany, Louis Comfort|Tiffany Furnaces",United States,Vase,Vase
,,,Northampton County,,,,American,Ceramics,"Uhler, Andrew",United States,Plate,Plate
,,,,,American,New York,American,Metal,"Tiffany, Louis Comfort|Tiffany Studios ",United States,Letter Opener,Letter opener
,,,McHenry,,,,American,Ceramics,Gates Potteries ,United States,Vase,Vase
,,,Staffordshire,,British,,British (American market),Ceramics,"Ridgway, John & William",England,Plate,Plate
,,,,,American,Buffalo,American,Ceramics,"Hunter, Dard|Roycroft ",United States,Vase,Vase
,,,McHenry,,,,American,Ceramics,"Gates Potteries |Gates, William Day",United States,Vase,Vase
,,,Montgomery County,,,,American,Ceramics,"Troxel, Henry",United States,Plate,Plate
,,,,,American,Buffalo,American,Ceramics,"Hunter, Dard|Roycroft ",United States,Vase,Vase
,,,,,American,Buffalo,American,Ceramics,"Hunter, Dard|Roycroft ",United States,Vase,Vase
,,,,,American,Buffalo,American,Ceramics,"Hunter, Dard|Roycroft ",United States,Vase,Vase
,,,Montgomery County,,,,American,Ceramics,"Neis, John",United States,Plate,Plate
,,,Montgomery County,,,,American,Ceramics,"Neis, John",United States,Plate,Plate
,,,,,American|American,Cincinnati,American,Ceramics,"McDonald, William Purcell|Rookwood Pottery",United States,Chief Joseph of the Nez Perce,Vase
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Jackson, Job & John",England,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Mellor, Venables & Co. ",England,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Mellor, Venables & Co. ",England,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Mellor, Venables & Co. ",England,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Wedgwood and Sons, Josiah",England,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Wedgwood and Sons, Josiah",England,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Mayer, Thomas",England,Plate,Plate
,,,Staffordshire,,,Stoke-on-Trent,British (American market),Ceramics,"Mayer, Thomas",England,Plate,Plate
,,,Haute-Vienne,,French,Limoges,American,Ceramics,"Leonard, Anna B.|T & V",United States|France,Plate,Plate
